r,l,U,t
1168,700,90,7
1168,1212,52,7
1168,1724,37,7
1168,2236,29,7
1168,2748,23,7
1168,3260,20,7
1168,3772,17,7
1168,4284,15,7
1168,4796,14,7
1168,5308,12,7
1168,5820,11,7
1168,6332,10,7
1168,6844,10,7
1168,7356,9,7
1168,7868,9,7
1168,8380,8,7
1168,8892,8,7
1168,9404,7,7
1168,9916,7,7
1168,10428,7,7
1168,10940,6,7
1168,11452,6,7
1168,11964,6,7
1168,12476,6,7
1168,13500,5,7
1168,14524,5,7
1168,15548,5,7
1168,16572,4,7
1168,17596,4,7
1168,18620,4,8
1168,19644,4,8
1168,20668,4,8
1168,21692,3,8
1168,22716,3,8
1168,23740,3,8
1168,24764,3,8
1168,25788,3,8
1168,26812,3,8
1168,27836,3,8
1168,28860,3,8
1168,29884,3,8
1168,30908,3,8
1168,31932,2,8
1168,32956,2,8
1168,33980,2,8
1168,35004,2,8
1168,36028,2,8
1168,37052,2,8
1168,38076,2,8
1168,39100,2,8
1168,40124,2,8
1168,41148,2,8
1168,42172,2,8
1168,43196,2,8
1168,44220,2,8
1168,45244,2,8
1168,46268,2,8
1168,47292,2,8
1168,48316,2,8
1168,49340,2,8
1168,50364,2,8
1168,51388,2,8
1168,52412,2,8
1168,53436,2,8
1168,54460,2,8
1168,55484,2,8
1168,56508,2,8
1168,57532,2,8
1168,58556,2,8
1168,59580,2,8
1168,60604,2,8
1168,61628,2,8
1168,62652,2,8
1168,63676,1,8
1168,64700,1,8
