r,l,U,t
624,700,90,7
624,1212,52,7
624,1724,37,7
624,2236,29,7
624,2748,23,7
624,3260,20,7
624,3772,17,7
624,4284,15,7
624,4796,14,7
624,5308,12,7
624,5820,11,7
624,6332,10,7
624,6844,10,7
624,7356,9,7
624,7868,9,7
624,8380,8,7
624,8892,8,7
624,9404,7,7
624,9916,7,7
624,10428,7,7
624,10940,6,7
624,11452,6,7
624,11964,6,7
624,12476,6,7
624,13500,5,7
624,14524,5,7
624,15548,5,7
624,16572,4,7
624,17596,4,7
624,18620,4,8
624,19644,4,8
624,20668,4,8
624,21692,3,8
624,22716,3,8
624,23740,3,8
624,24764,3,8
624,25788,3,8
624,26812,3,8
624,27836,3,8
624,28860,3,8
624,29884,3,8
624,30908,3,8
624,31932,2,8
624,32956,2,8
624,33980,2,8
624,35004,2,8
624,36028,2,8
624,37052,2,8
624,38076,2,8
624,39100,2,8
624,40124,2,8
624,41148,2,8
624,42172,2,8
624,43196,2,8
624,44220,2,8
624,45244,2,8
624,46268,2,8
624,47292,2,8
624,48316,2,8
624,49340,2,8
624,50364,2,8
624,51388,2,8
624,52412,2,8
624,53436,2,8
624,54460,2,8
624,55484,2,8
624,56508,2,8
624,57532,2,8
624,58556,2,8
624,59580,2,8
624,60604,2,8
624,61628,2,8
624,62652,2,8
624,63676,1,8
624,64700,1,8
