r,l,U,t
1104,700,90,7
1104,1212,52,7
1104,1724,37,7
1104,2236,29,7
1104,2748,23,7
1104,3260,20,7
1104,3772,17,7
1104,4284,15,7
1104,4796,14,7
1104,5308,12,7
1104,5820,11,7
1104,6332,10,7
1104,6844,10,7
1104,7356,9,7
1104,7868,9,7
1104,8380,8,7
1104,8892,8,7
1104,9404,7,7
1104,9916,7,7
1104,10428,7,7
1104,10940,6,7
1104,11452,6,7
1104,11964,6,7
1104,12476,6,7
1104,13500,5,7
1104,14524,5,7
1104,15548,5,7
1104,16572,4,7
1104,17596,4,7
1104,18620,4,8
1104,19644,4,8
1104,20668,4,8
1104,21692,3,8
1104,22716,3,8
1104,23740,3,8
1104,24764,3,8
1104,25788,3,8
1104,26812,3,8
1104,27836,3,8
1104,28860,3,8
1104,29884,3,8
1104,30908,3,8
1104,31932,2,8
1104,32956,2,8
1104,33980,2,8
1104,35004,2,8
1104,36028,2,8
1104,37052,2,8
1104,38076,2,8
1104,39100,2,8
1104,40124,2,8
1104,41148,2,8
1104,42172,2,8
1104,43196,2,8
1104,44220,2,8
1104,45244,2,8
1104,46268,2,8
1104,47292,2,8
1104,48316,2,8
1104,49340,2,8
1104,50364,2,8
1104,51388,2,8
1104,52412,2,8
1104,53436,2,8
1104,54460,2,8
1104,55484,2,8
1104,56508,2,8
1104,57532,2,8
1104,58556,2,8
1104,59580,2,8
1104,60604,2,8
1104,61628,2,8
1104,62652,2,8
1104,63676,1,8
1104,64700,1,8
