r,l,U,t
29,700,90,7
29,1212,52,7
29,1724,37,7
29,2236,29,7
29,2748,23,7
29,3260,20,7
29,3772,17,7
29,4284,15,7
29,4796,14,7
29,5308,12,7
29,5820,11,7
29,6332,10,7
29,6844,10,7
29,7356,9,7
29,7868,9,7
29,8380,8,7
29,8892,8,7
29,9404,7,7
29,9916,7,7
29,10428,7,7
29,10940,6,7
29,11452,6,7
29,11964,6,7
29,12476,6,7
29,13500,5,7
29,14524,5,7
29,15548,5,7
29,16572,4,7
29,17596,4,7
29,18620,4,8
29,19644,4,8
29,20668,4,8
29,21692,3,8
29,22716,3,8
29,23740,3,8
29,24764,3,8
29,25788,3,8
29,26812,3,8
29,27836,3,8
29,28860,3,8
29,29884,3,8
29,30908,3,8
29,31932,2,8
29,32956,2,8
29,33980,2,8
29,35004,2,8
29,36028,2,8
29,37052,2,8
29,38076,2,8
29,39100,2,8
29,40124,2,8
29,41148,2,8
29,42172,2,8
29,43196,2,8
29,44220,2,8
29,45244,2,8
29,46268,2,8
29,47292,2,8
29,48316,2,8
29,49340,2,8
29,50364,2,8
29,51388,2,8
29,52412,2,8
29,53436,2,8
29,54460,2,8
29,55484,2,8
29,56508,2,8
29,57532,2,8
29,58556,2,8
29,59580,2,8
29,60604,2,8
29,61628,2,8
29,62652,2,8
29,63676,1,8
29,64700,1,8
