r,l,U,t
2896,700,90,7
2896,1212,52,7
2896,1724,37,7
2896,2236,29,7
2896,2748,23,7
2896,3260,20,7
2896,3772,17,7
2896,4284,15,7
2896,4796,14,7
2896,5308,12,7
2896,5820,11,7
2896,6332,10,7
2896,6844,10,7
2896,7356,9,7
2896,7868,9,7
2896,8380,8,7
2896,8892,8,7
2896,9404,7,7
2896,9916,7,7
2896,10428,7,7
2896,10940,6,7
2896,11452,6,7
2896,11964,6,7
2896,12476,6,7
2896,13500,5,7
2896,14524,5,7
2896,15548,5,7
2896,16572,4,7
2896,17596,4,7
2896,18620,4,8
2896,19644,4,8
2896,20668,4,8
2896,21692,3,8
2896,22716,3,8
2896,23740,3,8
2896,24764,3,8
2896,25788,3,8
2896,26812,3,8
2896,27836,3,8
2896,28860,3,8
2896,29884,3,8
2896,30908,3,8
2896,31932,2,8
2896,32956,2,8
2896,33980,2,8
2896,35004,2,8
2896,36028,2,8
2896,37052,2,8
2896,38076,2,8
2896,39100,2,8
2896,40124,2,8
2896,41148,2,8
2896,42172,2,8
2896,43196,2,8
2896,44220,2,8
2896,45244,2,8
2896,46268,2,8
2896,47292,2,8
2896,48316,2,8
2896,49340,2,8
2896,50364,2,8
2896,51388,2,8
2896,52412,2,8
2896,53436,2,8
2896,54460,2,8
2896,55484,2,8
2896,56508,2,8
2896,57532,2,8
2896,58556,2,8
2896,59580,2,8
2896,60604,2,8
2896,61628,2,8
2896,62652,2,8
2896,63676,1,8
2896,64700,1,8
