r,l,U,t
15,700,90,7
15,1212,52,7
15,1724,37,7
15,2236,29,7
15,2748,23,7
15,3260,20,7
15,3772,17,7
15,4284,15,7
15,4796,14,7
15,5308,12,7
15,5820,11,7
15,6332,10,7
15,6844,10,7
15,7356,9,7
15,7868,9,7
15,8380,8,7
15,8892,8,7
15,9404,7,7
15,9916,7,7
15,10428,7,7
15,10940,6,7
15,11452,6,7
15,11964,6,7
15,12476,6,7
15,13500,5,7
15,14524,5,7
15,15548,5,7
15,16572,4,7
15,17596,4,7
15,18620,4,8
15,19644,4,8
15,20668,4,8
15,21692,3,8
15,22716,3,8
15,23740,3,8
15,24764,3,8
15,25788,3,8
15,26812,3,8
15,27836,3,8
15,28860,3,8
15,29884,3,8
15,30908,3,8
15,31932,2,8
15,32956,2,8
15,33980,2,8
15,35004,2,8
15,36028,2,8
15,37052,2,8
15,38076,2,8
15,39100,2,8
15,40124,2,8
15,41148,2,8
15,42172,2,8
15,43196,2,8
15,44220,2,8
15,45244,2,8
15,46268,2,8
15,47292,2,8
15,48316,2,8
15,49340,2,8
15,50364,2,8
15,51388,2,8
15,52412,2,8
15,53436,2,8
15,54460,2,8
15,55484,2,8
15,56508,2,8
15,57532,2,8
15,58556,2,8
15,59580,2,8
15,60604,2,8
15,61628,2,8
15,62652,2,8
15,63676,1,8
15,64700,1,8
