r,l,U,t
384,700,90,7
384,1212,52,7
384,1724,37,7
384,2236,29,7
384,2748,23,7
384,3260,20,7
384,3772,17,7
384,4284,15,7
384,4796,14,7
384,5308,12,7
384,5820,11,7
384,6332,10,7
384,6844,10,7
384,7356,9,7
384,7868,9,7
384,8380,8,7
384,8892,8,7
384,9404,7,7
384,9916,7,7
384,10428,7,7
384,10940,6,7
384,11452,6,7
384,11964,6,7
384,12476,6,7
384,13500,5,7
384,14524,5,7
384,15548,5,7
384,16572,4,7
384,17596,4,7
384,18620,4,8
384,19644,4,8
384,20668,4,8
384,21692,3,8
384,22716,3,8
384,23740,3,8
384,24764,3,8
384,25788,3,8
384,26812,3,8
384,27836,3,8
384,28860,3,8
384,29884,3,8
384,30908,3,8
384,31932,2,8
384,32956,2,8
384,33980,2,8
384,35004,2,8
384,36028,2,8
384,37052,2,8
384,38076,2,8
384,39100,2,8
384,40124,2,8
384,41148,2,8
384,42172,2,8
384,43196,2,8
384,44220,2,8
384,45244,2,8
384,46268,2,8
384,47292,2,8
384,48316,2,8
384,49340,2,8
384,50364,2,8
384,51388,2,8
384,52412,2,8
384,53436,2,8
384,54460,2,8
384,55484,2,8
384,56508,2,8
384,57532,2,8
384,58556,2,8
384,59580,2,8
384,60604,2,8
384,61628,2,8
384,62652,2,8
384,63676,1,8
384,64700,1,8
