r,l,U,t
82,700,90,7
82,1212,52,7
82,1724,37,7
82,2236,29,7
82,2748,23,7
82,3260,20,7
82,3772,17,7
82,4284,15,7
82,4796,14,7
82,5308,12,7
82,5820,11,7
82,6332,10,7
82,6844,10,7
82,7356,9,7
82,7868,9,7
82,8380,8,7
82,8892,8,7
82,9404,7,7
82,9916,7,7
82,10428,7,7
82,10940,6,7
82,11452,6,7
82,11964,6,7
82,12476,6,7
82,13500,5,7
82,14524,5,7
82,15548,5,7
82,16572,4,7
82,17596,4,7
82,18620,4,8
82,19644,4,8
82,20668,4,8
82,21692,3,8
82,22716,3,8
82,23740,3,8
82,24764,3,8
82,25788,3,8
82,26812,3,8
82,27836,3,8
82,28860,3,8
82,29884,3,8
82,30908,3,8
82,31932,2,8
82,32956,2,8
82,33980,2,8
82,35004,2,8
82,36028,2,8
82,37052,2,8
82,38076,2,8
82,39100,2,8
82,40124,2,8
82,41148,2,8
82,42172,2,8
82,43196,2,8
82,44220,2,8
82,45244,2,8
82,46268,2,8
82,47292,2,8
82,48316,2,8
82,49340,2,8
82,50364,2,8
82,51388,2,8
82,52412,2,8
82,53436,2,8
82,54460,2,8
82,55484,2,8
82,56508,2,8
82,57532,2,8
82,58556,2,8
82,59580,2,8
82,60604,2,8
82,61628,2,8
82,62652,2,8
82,63676,1,8
82,64700,1,8
