r,l,U,t
87,700,90,7
87,1212,52,7
87,1724,37,7
87,2236,29,7
87,2748,23,7
87,3260,20,7
87,3772,17,7
87,4284,15,7
87,4796,14,7
87,5308,12,7
87,5820,11,7
87,6332,10,7
87,6844,10,7
87,7356,9,7
87,7868,9,7
87,8380,8,7
87,8892,8,7
87,9404,7,7
87,9916,7,7
87,10428,7,7
87,10940,6,7
87,11452,6,7
87,11964,6,7
87,12476,6,7
87,13500,5,7
87,14524,5,7
87,15548,5,7
87,16572,4,7
87,17596,4,7
87,18620,4,8
87,19644,4,8
87,20668,4,8
87,21692,3,8
87,22716,3,8
87,23740,3,8
87,24764,3,8
87,25788,3,8
87,26812,3,8
87,27836,3,8
87,28860,3,8
87,29884,3,8
87,30908,3,8
87,31932,2,8
87,32956,2,8
87,33980,2,8
87,35004,2,8
87,36028,2,8
87,37052,2,8
87,38076,2,8
87,39100,2,8
87,40124,2,8
87,41148,2,8
87,42172,2,8
87,43196,2,8
87,44220,2,8
87,45244,2,8
87,46268,2,8
87,47292,2,8
87,48316,2,8
87,49340,2,8
87,50364,2,8
87,51388,2,8
87,52412,2,8
87,53436,2,8
87,54460,2,8
87,55484,2,8
87,56508,2,8
87,57532,2,8
87,58556,2,8
87,59580,2,8
87,60604,2,8
87,61628,2,8
87,62652,2,8
87,63676,1,8
87,64700,1,8
