r,l,U,t
62,700,90,7
62,1212,52,7
62,1724,37,7
62,2236,29,7
62,2748,23,7
62,3260,20,7
62,3772,17,7
62,4284,15,7
62,4796,14,7
62,5308,12,7
62,5820,11,7
62,6332,10,7
62,6844,10,7
62,7356,9,7
62,7868,9,7
62,8380,8,7
62,8892,8,7
62,9404,7,7
62,9916,7,7
62,10428,7,7
62,10940,6,7
62,11452,6,7
62,11964,6,7
62,12476,6,7
62,13500,5,7
62,14524,5,7
62,15548,5,7
62,16572,4,7
62,17596,4,7
62,18620,4,8
62,19644,4,8
62,20668,4,8
62,21692,3,8
62,22716,3,8
62,23740,3,8
62,24764,3,8
62,25788,3,8
62,26812,3,8
62,27836,3,8
62,28860,3,8
62,29884,3,8
62,30908,3,8
62,31932,2,8
62,32956,2,8
62,33980,2,8
62,35004,2,8
62,36028,2,8
62,37052,2,8
62,38076,2,8
62,39100,2,8
62,40124,2,8
62,41148,2,8
62,42172,2,8
62,43196,2,8
62,44220,2,8
62,45244,2,8
62,46268,2,8
62,47292,2,8
62,48316,2,8
62,49340,2,8
62,50364,2,8
62,51388,2,8
62,52412,2,8
62,53436,2,8
62,54460,2,8
62,55484,2,8
62,56508,2,8
62,57532,2,8
62,58556,2,8
62,59580,2,8
62,60604,2,8
62,61628,2,8
62,62652,2,8
62,63676,1,8
62,64700,1,8
