r,l,U,t
544,700,90,7
544,1212,52,7
544,1724,37,7
544,2236,29,7
544,2748,23,7
544,3260,20,7
544,3772,17,7
544,4284,15,7
544,4796,14,7
544,5308,12,7
544,5820,11,7
544,6332,10,7
544,6844,10,7
544,7356,9,7
544,7868,9,7
544,8380,8,7
544,8892,8,7
544,9404,7,7
544,9916,7,7
544,10428,7,7
544,10940,6,7
544,11452,6,7
544,11964,6,7
544,12476,6,7
544,13500,5,7
544,14524,5,7
544,15548,5,7
544,16572,4,7
544,17596,4,7
544,18620,4,8
544,19644,4,8
544,20668,4,8
544,21692,3,8
544,22716,3,8
544,23740,3,8
544,24764,3,8
544,25788,3,8
544,26812,3,8
544,27836,3,8
544,28860,3,8
544,29884,3,8
544,30908,3,8
544,31932,2,8
544,32956,2,8
544,33980,2,8
544,35004,2,8
544,36028,2,8
544,37052,2,8
544,38076,2,8
544,39100,2,8
544,40124,2,8
544,41148,2,8
544,42172,2,8
544,43196,2,8
544,44220,2,8
544,45244,2,8
544,46268,2,8
544,47292,2,8
544,48316,2,8
544,49340,2,8
544,50364,2,8
544,51388,2,8
544,52412,2,8
544,53436,2,8
544,54460,2,8
544,55484,2,8
544,56508,2,8
544,57532,2,8
544,58556,2,8
544,59580,2,8
544,60604,2,8
544,61628,2,8
544,62652,2,8
544,63676,1,8
544,64700,1,8
