r,l,U,t
496,700,90,7
496,1212,52,7
496,1724,37,7
496,2236,29,7
496,2748,23,7
496,3260,20,7
496,3772,17,7
496,4284,15,7
496,4796,14,7
496,5308,12,7
496,5820,11,7
496,6332,10,7
496,6844,10,7
496,7356,9,7
496,7868,9,7
496,8380,8,7
496,8892,8,7
496,9404,7,7
496,9916,7,7
496,10428,7,7
496,10940,6,7
496,11452,6,7
496,11964,6,7
496,12476,6,7
496,13500,5,7
496,14524,5,7
496,15548,5,7
496,16572,4,7
496,17596,4,7
496,18620,4,8
496,19644,4,8
496,20668,4,8
496,21692,3,8
496,22716,3,8
496,23740,3,8
496,24764,3,8
496,25788,3,8
496,26812,3,8
496,27836,3,8
496,28860,3,8
496,29884,3,8
496,30908,3,8
496,31932,2,8
496,32956,2,8
496,33980,2,8
496,35004,2,8
496,36028,2,8
496,37052,2,8
496,38076,2,8
496,39100,2,8
496,40124,2,8
496,41148,2,8
496,42172,2,8
496,43196,2,8
496,44220,2,8
496,45244,2,8
496,46268,2,8
496,47292,2,8
496,48316,2,8
496,49340,2,8
496,50364,2,8
496,51388,2,8
496,52412,2,8
496,53436,2,8
496,54460,2,8
496,55484,2,8
496,56508,2,8
496,57532,2,8
496,58556,2,8
496,59580,2,8
496,60604,2,8
496,61628,2,8
496,62652,2,8
496,63676,1,8
496,64700,1,8
