r,l,U,t
38,700,90,7
38,1212,52,7
38,1724,37,7
38,2236,29,7
38,2748,23,7
38,3260,20,7
38,3772,17,7
38,4284,15,7
38,4796,14,7
38,5308,12,7
38,5820,11,7
38,6332,10,7
38,6844,10,7
38,7356,9,7
38,7868,9,7
38,8380,8,7
38,8892,8,7
38,9404,7,7
38,9916,7,7
38,10428,7,7
38,10940,6,7
38,11452,6,7
38,11964,6,7
38,12476,6,7
38,13500,5,7
38,14524,5,7
38,15548,5,7
38,16572,4,7
38,17596,4,7
38,18620,4,8
38,19644,4,8
38,20668,4,8
38,21692,3,8
38,22716,3,8
38,23740,3,8
38,24764,3,8
38,25788,3,8
38,26812,3,8
38,27836,3,8
38,28860,3,8
38,29884,3,8
38,30908,3,8
38,31932,2,8
38,32956,2,8
38,33980,2,8
38,35004,2,8
38,36028,2,8
38,37052,2,8
38,38076,2,8
38,39100,2,8
38,40124,2,8
38,41148,2,8
38,42172,2,8
38,43196,2,8
38,44220,2,8
38,45244,2,8
38,46268,2,8
38,47292,2,8
38,48316,2,8
38,49340,2,8
38,50364,2,8
38,51388,2,8
38,52412,2,8
38,53436,2,8
38,54460,2,8
38,55484,2,8
38,56508,2,8
38,57532,2,8
38,58556,2,8
38,59580,2,8
38,60604,2,8
38,61628,2,8
38,62652,2,8
38,63676,1,8
38,64700,1,8
