r,l,U,t
2176,700,90,7
2176,1212,52,7
2176,1724,37,7
2176,2236,29,7
2176,2748,23,7
2176,3260,20,7
2176,3772,17,7
2176,4284,15,7
2176,4796,14,7
2176,5308,12,7
2176,5820,11,7
2176,6332,10,7
2176,6844,10,7
2176,7356,9,7
2176,7868,9,7
2176,8380,8,7
2176,8892,8,7
2176,9404,7,7
2176,9916,7,7
2176,10428,7,7
2176,10940,6,7
2176,11452,6,7
2176,11964,6,7
2176,12476,6,7
2176,13500,5,7
2176,14524,5,7
2176,15548,5,7
2176,16572,4,7
2176,17596,4,7
2176,18620,4,8
2176,19644,4,8
2176,20668,4,8
2176,21692,3,8
2176,22716,3,8
2176,23740,3,8
2176,24764,3,8
2176,25788,3,8
2176,26812,3,8
2176,27836,3,8
2176,28860,3,8
2176,29884,3,8
2176,30908,3,8
2176,31932,2,8
2176,32956,2,8
2176,33980,2,8
2176,35004,2,8
2176,36028,2,8
2176,37052,2,8
2176,38076,2,8
2176,39100,2,8
2176,40124,2,8
2176,41148,2,8
2176,42172,2,8
2176,43196,2,8
2176,44220,2,8
2176,45244,2,8
2176,46268,2,8
2176,47292,2,8
2176,48316,2,8
2176,49340,2,8
2176,50364,2,8
2176,51388,2,8
2176,52412,2,8
2176,53436,2,8
2176,54460,2,8
2176,55484,2,8
2176,56508,2,8
2176,57532,2,8
2176,58556,2,8
2176,59580,2,8
2176,60604,2,8
2176,61628,2,8
2176,62652,2,8
2176,63676,1,8
2176,64700,1,8
