r,l,U,t
2192,700,90,7
2192,1212,52,7
2192,1724,37,7
2192,2236,29,7
2192,2748,23,7
2192,3260,20,7
2192,3772,17,7
2192,4284,15,7
2192,4796,14,7
2192,5308,12,7
2192,5820,11,7
2192,6332,10,7
2192,6844,10,7
2192,7356,9,7
2192,7868,9,7
2192,8380,8,7
2192,8892,8,7
2192,9404,7,7
2192,9916,7,7
2192,10428,7,7
2192,10940,6,7
2192,11452,6,7
2192,11964,6,7
2192,12476,6,7
2192,13500,5,7
2192,14524,5,7
2192,15548,5,7
2192,16572,4,7
2192,17596,4,7
2192,18620,4,8
2192,19644,4,8
2192,20668,4,8
2192,21692,3,8
2192,22716,3,8
2192,23740,3,8
2192,24764,3,8
2192,25788,3,8
2192,26812,3,8
2192,27836,3,8
2192,28860,3,8
2192,29884,3,8
2192,30908,3,8
2192,31932,2,8
2192,32956,2,8
2192,33980,2,8
2192,35004,2,8
2192,36028,2,8
2192,37052,2,8
2192,38076,2,8
2192,39100,2,8
2192,40124,2,8
2192,41148,2,8
2192,42172,2,8
2192,43196,2,8
2192,44220,2,8
2192,45244,2,8
2192,46268,2,8
2192,47292,2,8
2192,48316,2,8
2192,49340,2,8
2192,50364,2,8
2192,51388,2,8
2192,52412,2,8
2192,53436,2,8
2192,54460,2,8
2192,55484,2,8
2192,56508,2,8
2192,57532,2,8
2192,58556,2,8
2192,59580,2,8
2192,60604,2,8
2192,61628,2,8
2192,62652,2,8
2192,63676,1,8
2192,64700,1,8
