r,l,U,t
12,700,90,7
12,1212,52,7
12,1724,37,7
12,2236,29,7
12,2748,23,7
12,3260,20,7
12,3772,17,7
12,4284,15,7
12,4796,14,7
12,5308,12,7
12,5820,11,7
12,6332,10,7
12,6844,10,7
12,7356,9,7
12,7868,9,7
12,8380,8,7
12,8892,8,7
12,9404,7,7
12,9916,7,7
12,10428,7,7
12,10940,6,7
12,11452,6,7
12,11964,6,7
12,12476,6,7
12,13500,5,7
12,14524,5,7
12,15548,5,7
12,16572,4,7
12,17596,4,7
12,18620,4,8
12,19644,4,8
12,20668,4,8
12,21692,3,8
12,22716,3,8
12,23740,3,8
12,24764,3,8
12,25788,3,8
12,26812,3,8
12,27836,3,8
12,28860,3,8
12,29884,3,8
12,30908,3,8
12,31932,2,8
12,32956,2,8
12,33980,2,8
12,35004,2,8
12,36028,2,8
12,37052,2,8
12,38076,2,8
12,39100,2,8
12,40124,2,8
12,41148,2,8
12,42172,2,8
12,43196,2,8
12,44220,2,8
12,45244,2,8
12,46268,2,8
12,47292,2,8
12,48316,2,8
12,49340,2,8
12,50364,2,8
12,51388,2,8
12,52412,2,8
12,53436,2,8
12,54460,2,8
12,55484,2,8
12,56508,2,8
12,57532,2,8
12,58556,2,8
12,59580,2,8
12,60604,2,8
12,61628,2,8
12,62652,2,8
12,63676,1,8
12,64700,1,8
