r,l,U,t
44,700,90,7
44,1212,52,7
44,1724,37,7
44,2236,29,7
44,2748,23,7
44,3260,20,7
44,3772,17,7
44,4284,15,7
44,4796,14,7
44,5308,12,7
44,5820,11,7
44,6332,10,7
44,6844,10,7
44,7356,9,7
44,7868,9,7
44,8380,8,7
44,8892,8,7
44,9404,7,7
44,9916,7,7
44,10428,7,7
44,10940,6,7
44,11452,6,7
44,11964,6,7
44,12476,6,7
44,13500,5,7
44,14524,5,7
44,15548,5,7
44,16572,4,7
44,17596,4,7
44,18620,4,8
44,19644,4,8
44,20668,4,8
44,21692,3,8
44,22716,3,8
44,23740,3,8
44,24764,3,8
44,25788,3,8
44,26812,3,8
44,27836,3,8
44,28860,3,8
44,29884,3,8
44,30908,3,8
44,31932,2,8
44,32956,2,8
44,33980,2,8
44,35004,2,8
44,36028,2,8
44,37052,2,8
44,38076,2,8
44,39100,2,8
44,40124,2,8
44,41148,2,8
44,42172,2,8
44,43196,2,8
44,44220,2,8
44,45244,2,8
44,46268,2,8
44,47292,2,8
44,48316,2,8
44,49340,2,8
44,50364,2,8
44,51388,2,8
44,52412,2,8
44,53436,2,8
44,54460,2,8
44,55484,2,8
44,56508,2,8
44,57532,2,8
44,58556,2,8
44,59580,2,8
44,60604,2,8
44,61628,2,8
44,62652,2,8
44,63676,1,8
44,64700,1,8
