r,l,U,t
1440,700,90,7
1440,1212,52,7
1440,1724,37,7
1440,2236,29,7
1440,2748,23,7
1440,3260,20,7
1440,3772,17,7
1440,4284,15,7
1440,4796,14,7
1440,5308,12,7
1440,5820,11,7
1440,6332,10,7
1440,6844,10,7
1440,7356,9,7
1440,7868,9,7
1440,8380,8,7
1440,8892,8,7
1440,9404,7,7
1440,9916,7,7
1440,10428,7,7
1440,10940,6,7
1440,11452,6,7
1440,11964,6,7
1440,12476,6,7
1440,13500,5,7
1440,14524,5,7
1440,15548,5,7
1440,16572,4,7
1440,17596,4,7
1440,18620,4,8
1440,19644,4,8
1440,20668,4,8
1440,21692,3,8
1440,22716,3,8
1440,23740,3,8
1440,24764,3,8
1440,25788,3,8
1440,26812,3,8
1440,27836,3,8
1440,28860,3,8
1440,29884,3,8
1440,30908,3,8
1440,31932,2,8
1440,32956,2,8
1440,33980,2,8
1440,35004,2,8
1440,36028,2,8
1440,37052,2,8
1440,38076,2,8
1440,39100,2,8
1440,40124,2,8
1440,41148,2,8
1440,42172,2,8
1440,43196,2,8
1440,44220,2,8
1440,45244,2,8
1440,46268,2,8
1440,47292,2,8
1440,48316,2,8
1440,49340,2,8
1440,50364,2,8
1440,51388,2,8
1440,52412,2,8
1440,53436,2,8
1440,54460,2,8
1440,55484,2,8
1440,56508,2,8
1440,57532,2,8
1440,58556,2,8
1440,59580,2,8
1440,60604,2,8
1440,61628,2,8
1440,62652,2,8
1440,63676,1,8
1440,64700,1,8
