r,l,U,t
2480,700,90,7
2480,1212,52,7
2480,1724,37,7
2480,2236,29,7
2480,2748,23,7
2480,3260,20,7
2480,3772,17,7
2480,4284,15,7
2480,4796,14,7
2480,5308,12,7
2480,5820,11,7
2480,6332,10,7
2480,6844,10,7
2480,7356,9,7
2480,7868,9,7
2480,8380,8,7
2480,8892,8,7
2480,9404,7,7
2480,9916,7,7
2480,10428,7,7
2480,10940,6,7
2480,11452,6,7
2480,11964,6,7
2480,12476,6,7
2480,13500,5,7
2480,14524,5,7
2480,15548,5,7
2480,16572,4,7
2480,17596,4,7
2480,18620,4,8
2480,19644,4,8
2480,20668,4,8
2480,21692,3,8
2480,22716,3,8
2480,23740,3,8
2480,24764,3,8
2480,25788,3,8
2480,26812,3,8
2480,27836,3,8
2480,28860,3,8
2480,29884,3,8
2480,30908,3,8
2480,31932,2,8
2480,32956,2,8
2480,33980,2,8
2480,35004,2,8
2480,36028,2,8
2480,37052,2,8
2480,38076,2,8
2480,39100,2,8
2480,40124,2,8
2480,41148,2,8
2480,42172,2,8
2480,43196,2,8
2480,44220,2,8
2480,45244,2,8
2480,46268,2,8
2480,47292,2,8
2480,48316,2,8
2480,49340,2,8
2480,50364,2,8
2480,51388,2,8
2480,52412,2,8
2480,53436,2,8
2480,54460,2,8
2480,55484,2,8
2480,56508,2,8
2480,57532,2,8
2480,58556,2,8
2480,59580,2,8
2480,60604,2,8
2480,61628,2,8
2480,62652,2,8
2480,63676,1,8
2480,64700,1,8
