r,l,U,t
92,700,90,7
92,1212,52,7
92,1724,37,7
92,2236,29,7
92,2748,23,7
92,3260,20,7
92,3772,17,7
92,4284,15,7
92,4796,14,7
92,5308,12,7
92,5820,11,7
92,6332,10,7
92,6844,10,7
92,7356,9,7
92,7868,9,7
92,8380,8,7
92,8892,8,7
92,9404,7,7
92,9916,7,7
92,10428,7,7
92,10940,6,7
92,11452,6,7
92,11964,6,7
92,12476,6,7
92,13500,5,7
92,14524,5,7
92,15548,5,7
92,16572,4,7
92,17596,4,7
92,18620,4,8
92,19644,4,8
92,20668,4,8
92,21692,3,8
92,22716,3,8
92,23740,3,8
92,24764,3,8
92,25788,3,8
92,26812,3,8
92,27836,3,8
92,28860,3,8
92,29884,3,8
92,30908,3,8
92,31932,2,8
92,32956,2,8
92,33980,2,8
92,35004,2,8
92,36028,2,8
92,37052,2,8
92,38076,2,8
92,39100,2,8
92,40124,2,8
92,41148,2,8
92,42172,2,8
92,43196,2,8
92,44220,2,8
92,45244,2,8
92,46268,2,8
92,47292,2,8
92,48316,2,8
92,49340,2,8
92,50364,2,8
92,51388,2,8
92,52412,2,8
92,53436,2,8
92,54460,2,8
92,55484,2,8
92,56508,2,8
92,57532,2,8
92,58556,2,8
92,59580,2,8
92,60604,2,8
92,61628,2,8
92,62652,2,8
92,63676,1,8
92,64700,1,8
