r,l,U,t
97,700,90,7
97,1212,52,7
97,1724,37,7
97,2236,29,7
97,2748,23,7
97,3260,20,7
97,3772,17,7
97,4284,15,7
97,4796,14,7
97,5308,12,7
97,5820,11,7
97,6332,10,7
97,6844,10,7
97,7356,9,7
97,7868,9,7
97,8380,8,7
97,8892,8,7
97,9404,7,7
97,9916,7,7
97,10428,7,7
97,10940,6,7
97,11452,6,7
97,11964,6,7
97,12476,6,7
97,13500,5,7
97,14524,5,7
97,15548,5,7
97,16572,4,7
97,17596,4,7
97,18620,4,8
97,19644,4,8
97,20668,4,8
97,21692,3,8
97,22716,3,8
97,23740,3,8
97,24764,3,8
97,25788,3,8
97,26812,3,8
97,27836,3,8
97,28860,3,8
97,29884,3,8
97,30908,3,8
97,31932,2,8
97,32956,2,8
97,33980,2,8
97,35004,2,8
97,36028,2,8
97,37052,2,8
97,38076,2,8
97,39100,2,8
97,40124,2,8
97,41148,2,8
97,42172,2,8
97,43196,2,8
97,44220,2,8
97,45244,2,8
97,46268,2,8
97,47292,2,8
97,48316,2,8
97,49340,2,8
97,50364,2,8
97,51388,2,8
97,52412,2,8
97,53436,2,8
97,54460,2,8
97,55484,2,8
97,56508,2,8
97,57532,2,8
97,58556,2,8
97,59580,2,8
97,60604,2,8
97,61628,2,8
97,62652,2,8
97,63676,1,8
97,64700,1,8
