r,l,U,t
4624,700,90,7
4624,1212,52,7
4624,1724,37,7
4624,2236,29,7
4624,2748,23,7
4624,3260,20,7
4624,3772,17,7
4624,4284,15,7
4624,4796,14,7
4624,5308,12,7
4624,5820,11,7
4624,6332,10,7
4624,6844,10,7
4624,7356,9,7
4624,7868,9,7
4624,8380,8,7
4624,8892,8,7
4624,9404,7,7
4624,9916,7,7
4624,10428,7,7
4624,10940,6,7
4624,11452,6,7
4624,11964,6,7
4624,12476,6,7
4624,13500,5,7
4624,14524,5,7
4624,15548,5,7
4624,16572,4,7
4624,17596,4,7
4624,18620,4,8
4624,19644,4,8
4624,20668,4,8
4624,21692,3,8
4624,22716,3,8
4624,23740,3,8
4624,24764,3,8
4624,25788,3,8
4624,26812,3,8
4624,27836,3,8
4624,28860,3,8
4624,29884,3,8
4624,30908,3,8
4624,31932,2,8
4624,32956,2,8
4624,33980,2,8
4624,35004,2,8
4624,36028,2,8
4624,37052,2,8
4624,38076,2,8
4624,39100,2,8
4624,40124,2,8
4624,41148,2,8
4624,42172,2,8
4624,43196,2,8
4624,44220,2,8
4624,45244,2,8
4624,46268,2,8
4624,47292,2,8
4624,48316,2,8
4624,49340,2,8
4624,50364,2,8
4624,51388,2,8
4624,52412,2,8
4624,53436,2,8
4624,54460,2,8
4624,55484,2,8
4624,56508,2,8
4624,57532,2,8
4624,58556,2,8
4624,59580,2,8
4624,60604,2,8
4624,61628,2,8
4624,62652,2,8
4624,63676,1,8
4624,64700,1,8
