r,l,U,t
1184,700,90,7
1184,1212,52,7
1184,1724,37,7
1184,2236,29,7
1184,2748,23,7
1184,3260,20,7
1184,3772,17,7
1184,4284,15,7
1184,4796,14,7
1184,5308,12,7
1184,5820,11,7
1184,6332,10,7
1184,6844,10,7
1184,7356,9,7
1184,7868,9,7
1184,8380,8,7
1184,8892,8,7
1184,9404,7,7
1184,9916,7,7
1184,10428,7,7
1184,10940,6,7
1184,11452,6,7
1184,11964,6,7
1184,12476,6,7
1184,13500,5,7
1184,14524,5,7
1184,15548,5,7
1184,16572,4,7
1184,17596,4,7
1184,18620,4,8
1184,19644,4,8
1184,20668,4,8
1184,21692,3,8
1184,22716,3,8
1184,23740,3,8
1184,24764,3,8
1184,25788,3,8
1184,26812,3,8
1184,27836,3,8
1184,28860,3,8
1184,29884,3,8
1184,30908,3,8
1184,31932,2,8
1184,32956,2,8
1184,33980,2,8
1184,35004,2,8
1184,36028,2,8
1184,37052,2,8
1184,38076,2,8
1184,39100,2,8
1184,40124,2,8
1184,41148,2,8
1184,42172,2,8
1184,43196,2,8
1184,44220,2,8
1184,45244,2,8
1184,46268,2,8
1184,47292,2,8
1184,48316,2,8
1184,49340,2,8
1184,50364,2,8
1184,51388,2,8
1184,52412,2,8
1184,53436,2,8
1184,54460,2,8
1184,55484,2,8
1184,56508,2,8
1184,57532,2,8
1184,58556,2,8
1184,59580,2,8
1184,60604,2,8
1184,61628,2,8
1184,62652,2,8
1184,63676,1,8
1184,64700,1,8
