r,l,U,t
2672,700,90,7
2672,1212,52,7
2672,1724,37,7
2672,2236,29,7
2672,2748,23,7
2672,3260,20,7
2672,3772,17,7
2672,4284,15,7
2672,4796,14,7
2672,5308,12,7
2672,5820,11,7
2672,6332,10,7
2672,6844,10,7
2672,7356,9,7
2672,7868,9,7
2672,8380,8,7
2672,8892,8,7
2672,9404,7,7
2672,9916,7,7
2672,10428,7,7
2672,10940,6,7
2672,11452,6,7
2672,11964,6,7
2672,12476,6,7
2672,13500,5,7
2672,14524,5,7
2672,15548,5,7
2672,16572,4,7
2672,17596,4,7
2672,18620,4,8
2672,19644,4,8
2672,20668,4,8
2672,21692,3,8
2672,22716,3,8
2672,23740,3,8
2672,24764,3,8
2672,25788,3,8
2672,26812,3,8
2672,27836,3,8
2672,28860,3,8
2672,29884,3,8
2672,30908,3,8
2672,31932,2,8
2672,32956,2,8
2672,33980,2,8
2672,35004,2,8
2672,36028,2,8
2672,37052,2,8
2672,38076,2,8
2672,39100,2,8
2672,40124,2,8
2672,41148,2,8
2672,42172,2,8
2672,43196,2,8
2672,44220,2,8
2672,45244,2,8
2672,46268,2,8
2672,47292,2,8
2672,48316,2,8
2672,49340,2,8
2672,50364,2,8
2672,51388,2,8
2672,52412,2,8
2672,53436,2,8
2672,54460,2,8
2672,55484,2,8
2672,56508,2,8
2672,57532,2,8
2672,58556,2,8
2672,59580,2,8
2672,60604,2,8
2672,61628,2,8
2672,62652,2,8
2672,63676,1,8
2672,64700,1,8
