r,l,U,t
688,700,90,7
688,1212,52,7
688,1724,37,7
688,2236,29,7
688,2748,23,7
688,3260,20,7
688,3772,17,7
688,4284,15,7
688,4796,14,7
688,5308,12,7
688,5820,11,7
688,6332,10,7
688,6844,10,7
688,7356,9,7
688,7868,9,7
688,8380,8,7
688,8892,8,7
688,9404,7,7
688,9916,7,7
688,10428,7,7
688,10940,6,7
688,11452,6,7
688,11964,6,7
688,12476,6,7
688,13500,5,7
688,14524,5,7
688,15548,5,7
688,16572,4,7
688,17596,4,7
688,18620,4,8
688,19644,4,8
688,20668,4,8
688,21692,3,8
688,22716,3,8
688,23740,3,8
688,24764,3,8
688,25788,3,8
688,26812,3,8
688,27836,3,8
688,28860,3,8
688,29884,3,8
688,30908,3,8
688,31932,2,8
688,32956,2,8
688,33980,2,8
688,35004,2,8
688,36028,2,8
688,37052,2,8
688,38076,2,8
688,39100,2,8
688,40124,2,8
688,41148,2,8
688,42172,2,8
688,43196,2,8
688,44220,2,8
688,45244,2,8
688,46268,2,8
688,47292,2,8
688,48316,2,8
688,49340,2,8
688,50364,2,8
688,51388,2,8
688,52412,2,8
688,53436,2,8
688,54460,2,8
688,55484,2,8
688,56508,2,8
688,57532,2,8
688,58556,2,8
688,59580,2,8
688,60604,2,8
688,61628,2,8
688,62652,2,8
688,63676,1,8
688,64700,1,8
