r,l,U,t
50,700,90,7
50,1212,52,7
50,1724,37,7
50,2236,29,7
50,2748,23,7
50,3260,20,7
50,3772,17,7
50,4284,15,7
50,4796,14,7
50,5308,12,7
50,5820,11,7
50,6332,10,7
50,6844,10,7
50,7356,9,7
50,7868,9,7
50,8380,8,7
50,8892,8,7
50,9404,7,7
50,9916,7,7
50,10428,7,7
50,10940,6,7
50,11452,6,7
50,11964,6,7
50,12476,6,7
50,13500,5,7
50,14524,5,7
50,15548,5,7
50,16572,4,7
50,17596,4,7
50,18620,4,8
50,19644,4,8
50,20668,4,8
50,21692,3,8
50,22716,3,8
50,23740,3,8
50,24764,3,8
50,25788,3,8
50,26812,3,8
50,27836,3,8
50,28860,3,8
50,29884,3,8
50,30908,3,8
50,31932,2,8
50,32956,2,8
50,33980,2,8
50,35004,2,8
50,36028,2,8
50,37052,2,8
50,38076,2,8
50,39100,2,8
50,40124,2,8
50,41148,2,8
50,42172,2,8
50,43196,2,8
50,44220,2,8
50,45244,2,8
50,46268,2,8
50,47292,2,8
50,48316,2,8
50,49340,2,8
50,50364,2,8
50,51388,2,8
50,52412,2,8
50,53436,2,8
50,54460,2,8
50,55484,2,8
50,56508,2,8
50,57532,2,8
50,58556,2,8
50,59580,2,8
50,60604,2,8
50,61628,2,8
50,62652,2,8
50,63676,1,8
50,64700,1,8
