r,l,U,t
94,700,90,7
94,1212,52,7
94,1724,37,7
94,2236,29,7
94,2748,23,7
94,3260,20,7
94,3772,17,7
94,4284,15,7
94,4796,14,7
94,5308,12,7
94,5820,11,7
94,6332,10,7
94,6844,10,7
94,7356,9,7
94,7868,9,7
94,8380,8,7
94,8892,8,7
94,9404,7,7
94,9916,7,7
94,10428,7,7
94,10940,6,7
94,11452,6,7
94,11964,6,7
94,12476,6,7
94,13500,5,7
94,14524,5,7
94,15548,5,7
94,16572,4,7
94,17596,4,7
94,18620,4,8
94,19644,4,8
94,20668,4,8
94,21692,3,8
94,22716,3,8
94,23740,3,8
94,24764,3,8
94,25788,3,8
94,26812,3,8
94,27836,3,8
94,28860,3,8
94,29884,3,8
94,30908,3,8
94,31932,2,8
94,32956,2,8
94,33980,2,8
94,35004,2,8
94,36028,2,8
94,37052,2,8
94,38076,2,8
94,39100,2,8
94,40124,2,8
94,41148,2,8
94,42172,2,8
94,43196,2,8
94,44220,2,8
94,45244,2,8
94,46268,2,8
94,47292,2,8
94,48316,2,8
94,49340,2,8
94,50364,2,8
94,51388,2,8
94,52412,2,8
94,53436,2,8
94,54460,2,8
94,55484,2,8
94,56508,2,8
94,57532,2,8
94,58556,2,8
94,59580,2,8
94,60604,2,8
94,61628,2,8
94,62652,2,8
94,63676,1,8
94,64700,1,8
