r,l,U,t
2592,700,90,7
2592,1212,52,7
2592,1724,37,7
2592,2236,29,7
2592,2748,23,7
2592,3260,20,7
2592,3772,17,7
2592,4284,15,7
2592,4796,14,7
2592,5308,12,7
2592,5820,11,7
2592,6332,10,7
2592,6844,10,7
2592,7356,9,7
2592,7868,9,7
2592,8380,8,7
2592,8892,8,7
2592,9404,7,7
2592,9916,7,7
2592,10428,7,7
2592,10940,6,7
2592,11452,6,7
2592,11964,6,7
2592,12476,6,7
2592,13500,5,7
2592,14524,5,7
2592,15548,5,7
2592,16572,4,7
2592,17596,4,7
2592,18620,4,8
2592,19644,4,8
2592,20668,4,8
2592,21692,3,8
2592,22716,3,8
2592,23740,3,8
2592,24764,3,8
2592,25788,3,8
2592,26812,3,8
2592,27836,3,8
2592,28860,3,8
2592,29884,3,8
2592,30908,3,8
2592,31932,2,8
2592,32956,2,8
2592,33980,2,8
2592,35004,2,8
2592,36028,2,8
2592,37052,2,8
2592,38076,2,8
2592,39100,2,8
2592,40124,2,8
2592,41148,2,8
2592,42172,2,8
2592,43196,2,8
2592,44220,2,8
2592,45244,2,8
2592,46268,2,8
2592,47292,2,8
2592,48316,2,8
2592,49340,2,8
2592,50364,2,8
2592,51388,2,8
2592,52412,2,8
2592,53436,2,8
2592,54460,2,8
2592,55484,2,8
2592,56508,2,8
2592,57532,2,8
2592,58556,2,8
2592,59580,2,8
2592,60604,2,8
2592,61628,2,8
2592,62652,2,8
2592,63676,1,8
2592,64700,1,8
