r,l,U,t
96,700,90,7
96,1212,52,7
96,1724,37,7
96,2236,29,7
96,2748,23,7
96,3260,20,7
96,3772,17,7
96,4284,15,7
96,4796,14,7
96,5308,12,7
96,5820,11,7
96,6332,10,7
96,6844,10,7
96,7356,9,7
96,7868,9,7
96,8380,8,7
96,8892,8,7
96,9404,7,7
96,9916,7,7
96,10428,7,7
96,10940,6,7
96,11452,6,7
96,11964,6,7
96,12476,6,7
96,13500,5,7
96,14524,5,7
96,15548,5,7
96,16572,4,7
96,17596,4,7
96,18620,4,8
96,19644,4,8
96,20668,4,8
96,21692,3,8
96,22716,3,8
96,23740,3,8
96,24764,3,8
96,25788,3,8
96,26812,3,8
96,27836,3,8
96,28860,3,8
96,29884,3,8
96,30908,3,8
96,31932,2,8
96,32956,2,8
96,33980,2,8
96,35004,2,8
96,36028,2,8
96,37052,2,8
96,38076,2,8
96,39100,2,8
96,40124,2,8
96,41148,2,8
96,42172,2,8
96,43196,2,8
96,44220,2,8
96,45244,2,8
96,46268,2,8
96,47292,2,8
96,48316,2,8
96,49340,2,8
96,50364,2,8
96,51388,2,8
96,52412,2,8
96,53436,2,8
96,54460,2,8
96,55484,2,8
96,56508,2,8
96,57532,2,8
96,58556,2,8
96,59580,2,8
96,60604,2,8
96,61628,2,8
96,62652,2,8
96,63676,1,8
96,64700,1,8
