r,l,U,t
1520,700,90,7
1520,1212,52,7
1520,1724,37,7
1520,2236,29,7
1520,2748,23,7
1520,3260,20,7
1520,3772,17,7
1520,4284,15,7
1520,4796,14,7
1520,5308,12,7
1520,5820,11,7
1520,6332,10,7
1520,6844,10,7
1520,7356,9,7
1520,7868,9,7
1520,8380,8,7
1520,8892,8,7
1520,9404,7,7
1520,9916,7,7
1520,10428,7,7
1520,10940,6,7
1520,11452,6,7
1520,11964,6,7
1520,12476,6,7
1520,13500,5,7
1520,14524,5,7
1520,15548,5,7
1520,16572,4,7
1520,17596,4,7
1520,18620,4,8
1520,19644,4,8
1520,20668,4,8
1520,21692,3,8
1520,22716,3,8
1520,23740,3,8
1520,24764,3,8
1520,25788,3,8
1520,26812,3,8
1520,27836,3,8
1520,28860,3,8
1520,29884,3,8
1520,30908,3,8
1520,31932,2,8
1520,32956,2,8
1520,33980,2,8
1520,35004,2,8
1520,36028,2,8
1520,37052,2,8
1520,38076,2,8
1520,39100,2,8
1520,40124,2,8
1520,41148,2,8
1520,42172,2,8
1520,43196,2,8
1520,44220,2,8
1520,45244,2,8
1520,46268,2,8
1520,47292,2,8
1520,48316,2,8
1520,49340,2,8
1520,50364,2,8
1520,51388,2,8
1520,52412,2,8
1520,53436,2,8
1520,54460,2,8
1520,55484,2,8
1520,56508,2,8
1520,57532,2,8
1520,58556,2,8
1520,59580,2,8
1520,60604,2,8
1520,61628,2,8
1520,62652,2,8
1520,63676,1,8
1520,64700,1,8
