r,l,U,t
4880,700,90,7
4880,1212,52,7
4880,1724,37,7
4880,2236,29,7
4880,2748,23,7
4880,3260,20,7
4880,3772,17,7
4880,4284,15,7
4880,4796,14,7
4880,5308,12,7
4880,5820,11,7
4880,6332,10,7
4880,6844,10,7
4880,7356,9,7
4880,7868,9,7
4880,8380,8,7
4880,8892,8,7
4880,9404,7,7
4880,9916,7,7
4880,10428,7,7
4880,10940,6,7
4880,11452,6,7
4880,11964,6,7
4880,12476,6,7
4880,13500,5,7
4880,14524,5,7
4880,15548,5,7
4880,16572,4,7
4880,17596,4,7
4880,18620,4,8
4880,19644,4,8
4880,20668,4,8
4880,21692,3,8
4880,22716,3,8
4880,23740,3,8
4880,24764,3,8
4880,25788,3,8
4880,26812,3,8
4880,27836,3,8
4880,28860,3,8
4880,29884,3,8
4880,30908,3,8
4880,31932,2,8
4880,32956,2,8
4880,33980,2,8
4880,35004,2,8
4880,36028,2,8
4880,37052,2,8
4880,38076,2,8
4880,39100,2,8
4880,40124,2,8
4880,41148,2,8
4880,42172,2,8
4880,43196,2,8
4880,44220,2,8
4880,45244,2,8
4880,46268,2,8
4880,47292,2,8
4880,48316,2,8
4880,49340,2,8
4880,50364,2,8
4880,51388,2,8
4880,52412,2,8
4880,53436,2,8
4880,54460,2,8
4880,55484,2,8
4880,56508,2,8
4880,57532,2,8
4880,58556,2,8
4880,59580,2,8
4880,60604,2,8
4880,61628,2,8
4880,62652,2,8
4880,63676,1,8
4880,64700,1,8
