r,l,U,t
6416,700,90,7
6416,1212,52,7
6416,1724,37,7
6416,2236,29,7
6416,2748,23,7
6416,3260,20,7
6416,3772,17,7
6416,4284,15,7
6416,4796,14,7
6416,5308,12,7
6416,5820,11,7
6416,6332,10,7
6416,6844,10,7
6416,7356,9,7
6416,7868,9,7
6416,8380,8,7
6416,8892,8,7
6416,9404,7,7
6416,9916,7,7
6416,10428,7,7
6416,10940,6,7
6416,11452,6,7
6416,11964,6,7
6416,12476,6,7
6416,13500,5,7
6416,14524,5,7
6416,15548,5,7
6416,16572,4,7
6416,17596,4,7
6416,18620,4,8
6416,19644,4,8
6416,20668,4,8
6416,21692,3,8
6416,22716,3,8
6416,23740,3,8
6416,24764,3,8
6416,25788,3,8
6416,26812,3,8
6416,27836,3,8
6416,28860,3,8
6416,29884,3,8
6416,30908,3,8
6416,31932,2,8
6416,32956,2,8
6416,33980,2,8
6416,35004,2,8
6416,36028,2,8
6416,37052,2,8
6416,38076,2,8
6416,39100,2,8
6416,40124,2,8
6416,41148,2,8
6416,42172,2,8
6416,43196,2,8
6416,44220,2,8
6416,45244,2,8
6416,46268,2,8
6416,47292,2,8
6416,48316,2,8
6416,49340,2,8
6416,50364,2,8
6416,51388,2,8
6416,52412,2,8
6416,53436,2,8
6416,54460,2,8
6416,55484,2,8
6416,56508,2,8
6416,57532,2,8
6416,58556,2,8
6416,59580,2,8
6416,60604,2,8
6416,61628,2,8
6416,62652,2,8
6416,63676,1,8
6416,64700,1,8
