r,l,U,t
19,700,90,7
19,1212,52,7
19,1724,37,7
19,2236,29,7
19,2748,23,7
19,3260,20,7
19,3772,17,7
19,4284,15,7
19,4796,14,7
19,5308,12,7
19,5820,11,7
19,6332,10,7
19,6844,10,7
19,7356,9,7
19,7868,9,7
19,8380,8,7
19,8892,8,7
19,9404,7,7
19,9916,7,7
19,10428,7,7
19,10940,6,7
19,11452,6,7
19,11964,6,7
19,12476,6,7
19,13500,5,7
19,14524,5,7
19,15548,5,7
19,16572,4,7
19,17596,4,7
19,18620,4,8
19,19644,4,8
19,20668,4,8
19,21692,3,8
19,22716,3,8
19,23740,3,8
19,24764,3,8
19,25788,3,8
19,26812,3,8
19,27836,3,8
19,28860,3,8
19,29884,3,8
19,30908,3,8
19,31932,2,8
19,32956,2,8
19,33980,2,8
19,35004,2,8
19,36028,2,8
19,37052,2,8
19,38076,2,8
19,39100,2,8
19,40124,2,8
19,41148,2,8
19,42172,2,8
19,43196,2,8
19,44220,2,8
19,45244,2,8
19,46268,2,8
19,47292,2,8
19,48316,2,8
19,49340,2,8
19,50364,2,8
19,51388,2,8
19,52412,2,8
19,53436,2,8
19,54460,2,8
19,55484,2,8
19,56508,2,8
19,57532,2,8
19,58556,2,8
19,59580,2,8
19,60604,2,8
19,61628,2,8
19,62652,2,8
19,63676,1,8
19,64700,1,8
