r,l,U,t
5520,700,90,7
5520,1212,52,7
5520,1724,37,7
5520,2236,29,7
5520,2748,23,7
5520,3260,20,7
5520,3772,17,7
5520,4284,15,7
5520,4796,14,7
5520,5308,12,7
5520,5820,11,7
5520,6332,10,7
5520,6844,10,7
5520,7356,9,7
5520,7868,9,7
5520,8380,8,7
5520,8892,8,7
5520,9404,7,7
5520,9916,7,7
5520,10428,7,7
5520,10940,6,7
5520,11452,6,7
5520,11964,6,7
5520,12476,6,7
5520,13500,5,7
5520,14524,5,7
5520,15548,5,7
5520,16572,4,7
5520,17596,4,7
5520,18620,4,8
5520,19644,4,8
5520,20668,4,8
5520,21692,3,8
5520,22716,3,8
5520,23740,3,8
5520,24764,3,8
5520,25788,3,8
5520,26812,3,8
5520,27836,3,8
5520,28860,3,8
5520,29884,3,8
5520,30908,3,8
5520,31932,2,8
5520,32956,2,8
5520,33980,2,8
5520,35004,2,8
5520,36028,2,8
5520,37052,2,8
5520,38076,2,8
5520,39100,2,8
5520,40124,2,8
5520,41148,2,8
5520,42172,2,8
5520,43196,2,8
5520,44220,2,8
5520,45244,2,8
5520,46268,2,8
5520,47292,2,8
5520,48316,2,8
5520,49340,2,8
5520,50364,2,8
5520,51388,2,8
5520,52412,2,8
5520,53436,2,8
5520,54460,2,8
5520,55484,2,8
5520,56508,2,8
5520,57532,2,8
5520,58556,2,8
5520,59580,2,8
5520,60604,2,8
5520,61628,2,8
5520,62652,2,8
5520,63676,1,8
5520,64700,1,8
