r,l,U,t
99,700,90,7
99,1212,52,7
99,1724,37,7
99,2236,29,7
99,2748,23,7
99,3260,20,7
99,3772,17,7
99,4284,15,7
99,4796,14,7
99,5308,12,7
99,5820,11,7
99,6332,10,7
99,6844,10,7
99,7356,9,7
99,7868,9,7
99,8380,8,7
99,8892,8,7
99,9404,7,7
99,9916,7,7
99,10428,7,7
99,10940,6,7
99,11452,6,7
99,11964,6,7
99,12476,6,7
99,13500,5,7
99,14524,5,7
99,15548,5,7
99,16572,4,7
99,17596,4,7
99,18620,4,8
99,19644,4,8
99,20668,4,8
99,21692,3,8
99,22716,3,8
99,23740,3,8
99,24764,3,8
99,25788,3,8
99,26812,3,8
99,27836,3,8
99,28860,3,8
99,29884,3,8
99,30908,3,8
99,31932,2,8
99,32956,2,8
99,33980,2,8
99,35004,2,8
99,36028,2,8
99,37052,2,8
99,38076,2,8
99,39100,2,8
99,40124,2,8
99,41148,2,8
99,42172,2,8
99,43196,2,8
99,44220,2,8
99,45244,2,8
99,46268,2,8
99,47292,2,8
99,48316,2,8
99,49340,2,8
99,50364,2,8
99,51388,2,8
99,52412,2,8
99,53436,2,8
99,54460,2,8
99,55484,2,8
99,56508,2,8
99,57532,2,8
99,58556,2,8
99,59580,2,8
99,60604,2,8
99,61628,2,8
99,62652,2,8
99,63676,1,8
99,64700,1,8
