r,l,U,t
6544,700,90,7
6544,1212,52,7
6544,1724,37,7
6544,2236,29,7
6544,2748,23,7
6544,3260,20,7
6544,3772,17,7
6544,4284,15,7
6544,4796,14,7
6544,5308,12,7
6544,5820,11,7
6544,6332,10,7
6544,6844,10,7
6544,7356,9,7
6544,7868,9,7
6544,8380,8,7
6544,8892,8,7
6544,9404,7,7
6544,9916,7,7
6544,10428,7,7
6544,10940,6,7
6544,11452,6,7
6544,11964,6,7
6544,12476,6,7
6544,13500,5,7
6544,14524,5,7
6544,15548,5,7
6544,16572,4,7
6544,17596,4,7
6544,18620,4,8
6544,19644,4,8
6544,20668,4,8
6544,21692,3,8
6544,22716,3,8
6544,23740,3,8
6544,24764,3,8
6544,25788,3,8
6544,26812,3,8
6544,27836,3,8
6544,28860,3,8
6544,29884,3,8
6544,30908,3,8
6544,31932,2,8
6544,32956,2,8
6544,33980,2,8
6544,35004,2,8
6544,36028,2,8
6544,37052,2,8
6544,38076,2,8
6544,39100,2,8
6544,40124,2,8
6544,41148,2,8
6544,42172,2,8
6544,43196,2,8
6544,44220,2,8
6544,45244,2,8
6544,46268,2,8
6544,47292,2,8
6544,48316,2,8
6544,49340,2,8
6544,50364,2,8
6544,51388,2,8
6544,52412,2,8
6544,53436,2,8
6544,54460,2,8
6544,55484,2,8
6544,56508,2,8
6544,57532,2,8
6544,58556,2,8
6544,59580,2,8
6544,60604,2,8
6544,61628,2,8
6544,62652,2,8
6544,63676,1,8
6544,64700,1,8
