r,l,U,t
20,700,90,7
20,1212,52,7
20,1724,37,7
20,2236,29,7
20,2748,23,7
20,3260,20,7
20,3772,17,7
20,4284,15,7
20,4796,14,7
20,5308,12,7
20,5820,11,7
20,6332,10,7
20,6844,10,7
20,7356,9,7
20,7868,9,7
20,8380,8,7
20,8892,8,7
20,9404,7,7
20,9916,7,7
20,10428,7,7
20,10940,6,7
20,11452,6,7
20,11964,6,7
20,12476,6,7
20,13500,5,7
20,14524,5,7
20,15548,5,7
20,16572,4,7
20,17596,4,7
20,18620,4,8
20,19644,4,8
20,20668,4,8
20,21692,3,8
20,22716,3,8
20,23740,3,8
20,24764,3,8
20,25788,3,8
20,26812,3,8
20,27836,3,8
20,28860,3,8
20,29884,3,8
20,30908,3,8
20,31932,2,8
20,32956,2,8
20,33980,2,8
20,35004,2,8
20,36028,2,8
20,37052,2,8
20,38076,2,8
20,39100,2,8
20,40124,2,8
20,41148,2,8
20,42172,2,8
20,43196,2,8
20,44220,2,8
20,45244,2,8
20,46268,2,8
20,47292,2,8
20,48316,2,8
20,49340,2,8
20,50364,2,8
20,51388,2,8
20,52412,2,8
20,53436,2,8
20,54460,2,8
20,55484,2,8
20,56508,2,8
20,57532,2,8
20,58556,2,8
20,59580,2,8
20,60604,2,8
20,61628,2,8
20,62652,2,8
20,63676,1,8
20,64700,1,8
