r,l,U,t
832,700,90,7
832,1212,52,7
832,1724,37,7
832,2236,29,7
832,2748,23,7
832,3260,20,7
832,3772,17,7
832,4284,15,7
832,4796,14,7
832,5308,12,7
832,5820,11,7
832,6332,10,7
832,6844,10,7
832,7356,9,7
832,7868,9,7
832,8380,8,7
832,8892,8,7
832,9404,7,7
832,9916,7,7
832,10428,7,7
832,10940,6,7
832,11452,6,7
832,11964,6,7
832,12476,6,7
832,13500,5,7
832,14524,5,7
832,15548,5,7
832,16572,4,7
832,17596,4,7
832,18620,4,8
832,19644,4,8
832,20668,4,8
832,21692,3,8
832,22716,3,8
832,23740,3,8
832,24764,3,8
832,25788,3,8
832,26812,3,8
832,27836,3,8
832,28860,3,8
832,29884,3,8
832,30908,3,8
832,31932,2,8
832,32956,2,8
832,33980,2,8
832,35004,2,8
832,36028,2,8
832,37052,2,8
832,38076,2,8
832,39100,2,8
832,40124,2,8
832,41148,2,8
832,42172,2,8
832,43196,2,8
832,44220,2,8
832,45244,2,8
832,46268,2,8
832,47292,2,8
832,48316,2,8
832,49340,2,8
832,50364,2,8
832,51388,2,8
832,52412,2,8
832,53436,2,8
832,54460,2,8
832,55484,2,8
832,56508,2,8
832,57532,2,8
832,58556,2,8
832,59580,2,8
832,60604,2,8
832,61628,2,8
832,62652,2,8
832,63676,1,8
832,64700,1,8
