r,l,U,t
352,700,90,7
352,1212,52,7
352,1724,37,7
352,2236,29,7
352,2748,23,7
352,3260,20,7
352,3772,17,7
352,4284,15,7
352,4796,14,7
352,5308,12,7
352,5820,11,7
352,6332,10,7
352,6844,10,7
352,7356,9,7
352,7868,9,7
352,8380,8,7
352,8892,8,7
352,9404,7,7
352,9916,7,7
352,10428,7,7
352,10940,6,7
352,11452,6,7
352,11964,6,7
352,12476,6,7
352,13500,5,7
352,14524,5,7
352,15548,5,7
352,16572,4,7
352,17596,4,7
352,18620,4,8
352,19644,4,8
352,20668,4,8
352,21692,3,8
352,22716,3,8
352,23740,3,8
352,24764,3,8
352,25788,3,8
352,26812,3,8
352,27836,3,8
352,28860,3,8
352,29884,3,8
352,30908,3,8
352,31932,2,8
352,32956,2,8
352,33980,2,8
352,35004,2,8
352,36028,2,8
352,37052,2,8
352,38076,2,8
352,39100,2,8
352,40124,2,8
352,41148,2,8
352,42172,2,8
352,43196,2,8
352,44220,2,8
352,45244,2,8
352,46268,2,8
352,47292,2,8
352,48316,2,8
352,49340,2,8
352,50364,2,8
352,51388,2,8
352,52412,2,8
352,53436,2,8
352,54460,2,8
352,55484,2,8
352,56508,2,8
352,57532,2,8
352,58556,2,8
352,59580,2,8
352,60604,2,8
352,61628,2,8
352,62652,2,8
352,63676,1,8
352,64700,1,8
