r,l,U,t
10,700,90,7
10,1212,52,7
10,1724,37,7
10,2236,29,7
10,2748,23,7
10,3260,20,7
10,3772,17,7
10,4284,15,7
10,4796,14,7
10,5308,12,7
10,5820,11,7
10,6332,10,7
10,6844,10,7
10,7356,9,7
10,7868,9,7
10,8380,8,7
10,8892,8,7
10,9404,7,7
10,9916,7,7
10,10428,7,7
10,10940,6,7
10,11452,6,7
10,11964,6,7
10,12476,6,7
10,13500,5,7
10,14524,5,7
10,15548,5,7
10,16572,4,7
10,17596,4,7
10,18620,4,8
10,19644,4,8
10,20668,4,8
10,21692,3,8
10,22716,3,8
10,23740,3,8
10,24764,3,8
10,25788,3,8
10,26812,3,8
10,27836,3,8
10,28860,3,8
10,29884,3,8
10,30908,3,8
10,31932,2,8
10,32956,2,8
10,33980,2,8
10,35004,2,8
10,36028,2,8
10,37052,2,8
10,38076,2,8
10,39100,2,8
10,40124,2,8
10,41148,2,8
10,42172,2,8
10,43196,2,8
10,44220,2,8
10,45244,2,8
10,46268,2,8
10,47292,2,8
10,48316,2,8
10,49340,2,8
10,50364,2,8
10,51388,2,8
10,52412,2,8
10,53436,2,8
10,54460,2,8
10,55484,2,8
10,56508,2,8
10,57532,2,8
10,58556,2,8
10,59580,2,8
10,60604,2,8
10,61628,2,8
10,62652,2,8
10,63676,1,8
10,64700,1,8
