r,l,U,t
65,700,90,7
65,1212,52,7
65,1724,37,7
65,2236,29,7
65,2748,23,7
65,3260,20,7
65,3772,17,7
65,4284,15,7
65,4796,14,7
65,5308,12,7
65,5820,11,7
65,6332,10,7
65,6844,10,7
65,7356,9,7
65,7868,9,7
65,8380,8,7
65,8892,8,7
65,9404,7,7
65,9916,7,7
65,10428,7,7
65,10940,6,7
65,11452,6,7
65,11964,6,7
65,12476,6,7
65,13500,5,7
65,14524,5,7
65,15548,5,7
65,16572,4,7
65,17596,4,7
65,18620,4,8
65,19644,4,8
65,20668,4,8
65,21692,3,8
65,22716,3,8
65,23740,3,8
65,24764,3,8
65,25788,3,8
65,26812,3,8
65,27836,3,8
65,28860,3,8
65,29884,3,8
65,30908,3,8
65,31932,2,8
65,32956,2,8
65,33980,2,8
65,35004,2,8
65,36028,2,8
65,37052,2,8
65,38076,2,8
65,39100,2,8
65,40124,2,8
65,41148,2,8
65,42172,2,8
65,43196,2,8
65,44220,2,8
65,45244,2,8
65,46268,2,8
65,47292,2,8
65,48316,2,8
65,49340,2,8
65,50364,2,8
65,51388,2,8
65,52412,2,8
65,53436,2,8
65,54460,2,8
65,55484,2,8
65,56508,2,8
65,57532,2,8
65,58556,2,8
65,59580,2,8
65,60604,2,8
65,61628,2,8
65,62652,2,8
65,63676,1,8
65,64700,1,8
