r,l,U,t
2112,700,90,7
2112,1212,52,7
2112,1724,37,7
2112,2236,29,7
2112,2748,23,7
2112,3260,20,7
2112,3772,17,7
2112,4284,15,7
2112,4796,14,7
2112,5308,12,7
2112,5820,11,7
2112,6332,10,7
2112,6844,10,7
2112,7356,9,7
2112,7868,9,7
2112,8380,8,7
2112,8892,8,7
2112,9404,7,7
2112,9916,7,7
2112,10428,7,7
2112,10940,6,7
2112,11452,6,7
2112,11964,6,7
2112,12476,6,7
2112,13500,5,7
2112,14524,5,7
2112,15548,5,7
2112,16572,4,7
2112,17596,4,7
2112,18620,4,8
2112,19644,4,8
2112,20668,4,8
2112,21692,3,8
2112,22716,3,8
2112,23740,3,8
2112,24764,3,8
2112,25788,3,8
2112,26812,3,8
2112,27836,3,8
2112,28860,3,8
2112,29884,3,8
2112,30908,3,8
2112,31932,2,8
2112,32956,2,8
2112,33980,2,8
2112,35004,2,8
2112,36028,2,8
2112,37052,2,8
2112,38076,2,8
2112,39100,2,8
2112,40124,2,8
2112,41148,2,8
2112,42172,2,8
2112,43196,2,8
2112,44220,2,8
2112,45244,2,8
2112,46268,2,8
2112,47292,2,8
2112,48316,2,8
2112,49340,2,8
2112,50364,2,8
2112,51388,2,8
2112,52412,2,8
2112,53436,2,8
2112,54460,2,8
2112,55484,2,8
2112,56508,2,8
2112,57532,2,8
2112,58556,2,8
2112,59580,2,8
2112,60604,2,8
2112,61628,2,8
2112,62652,2,8
2112,63676,1,8
2112,64700,1,8
