r,l,U,t
320,700,90,7
320,1212,52,7
320,1724,37,7
320,2236,29,7
320,2748,23,7
320,3260,20,7
320,3772,17,7
320,4284,15,7
320,4796,14,7
320,5308,12,7
320,5820,11,7
320,6332,10,7
320,6844,10,7
320,7356,9,7
320,7868,9,7
320,8380,8,7
320,8892,8,7
320,9404,7,7
320,9916,7,7
320,10428,7,7
320,10940,6,7
320,11452,6,7
320,11964,6,7
320,12476,6,7
320,13500,5,7
320,14524,5,7
320,15548,5,7
320,16572,4,7
320,17596,4,7
320,18620,4,8
320,19644,4,8
320,20668,4,8
320,21692,3,8
320,22716,3,8
320,23740,3,8
320,24764,3,8
320,25788,3,8
320,26812,3,8
320,27836,3,8
320,28860,3,8
320,29884,3,8
320,30908,3,8
320,31932,2,8
320,32956,2,8
320,33980,2,8
320,35004,2,8
320,36028,2,8
320,37052,2,8
320,38076,2,8
320,39100,2,8
320,40124,2,8
320,41148,2,8
320,42172,2,8
320,43196,2,8
320,44220,2,8
320,45244,2,8
320,46268,2,8
320,47292,2,8
320,48316,2,8
320,49340,2,8
320,50364,2,8
320,51388,2,8
320,52412,2,8
320,53436,2,8
320,54460,2,8
320,55484,2,8
320,56508,2,8
320,57532,2,8
320,58556,2,8
320,59580,2,8
320,60604,2,8
320,61628,2,8
320,62652,2,8
320,63676,1,8
320,64700,1,8
