r,l,U,t
49,700,90,7
49,1212,52,7
49,1724,37,7
49,2236,29,7
49,2748,23,7
49,3260,20,7
49,3772,17,7
49,4284,15,7
49,4796,14,7
49,5308,12,7
49,5820,11,7
49,6332,10,7
49,6844,10,7
49,7356,9,7
49,7868,9,7
49,8380,8,7
49,8892,8,7
49,9404,7,7
49,9916,7,7
49,10428,7,7
49,10940,6,7
49,11452,6,7
49,11964,6,7
49,12476,6,7
49,13500,5,7
49,14524,5,7
49,15548,5,7
49,16572,4,7
49,17596,4,7
49,18620,4,8
49,19644,4,8
49,20668,4,8
49,21692,3,8
49,22716,3,8
49,23740,3,8
49,24764,3,8
49,25788,3,8
49,26812,3,8
49,27836,3,8
49,28860,3,8
49,29884,3,8
49,30908,3,8
49,31932,2,8
49,32956,2,8
49,33980,2,8
49,35004,2,8
49,36028,2,8
49,37052,2,8
49,38076,2,8
49,39100,2,8
49,40124,2,8
49,41148,2,8
49,42172,2,8
49,43196,2,8
49,44220,2,8
49,45244,2,8
49,46268,2,8
49,47292,2,8
49,48316,2,8
49,49340,2,8
49,50364,2,8
49,51388,2,8
49,52412,2,8
49,53436,2,8
49,54460,2,8
49,55484,2,8
49,56508,2,8
49,57532,2,8
49,58556,2,8
49,59580,2,8
49,60604,2,8
49,61628,2,8
49,62652,2,8
49,63676,1,8
49,64700,1,8
