r,l,U,t
76,700,90,7
76,1212,52,7
76,1724,37,7
76,2236,29,7
76,2748,23,7
76,3260,20,7
76,3772,17,7
76,4284,15,7
76,4796,14,7
76,5308,12,7
76,5820,11,7
76,6332,10,7
76,6844,10,7
76,7356,9,7
76,7868,9,7
76,8380,8,7
76,8892,8,7
76,9404,7,7
76,9916,7,7
76,10428,7,7
76,10940,6,7
76,11452,6,7
76,11964,6,7
76,12476,6,7
76,13500,5,7
76,14524,5,7
76,15548,5,7
76,16572,4,7
76,17596,4,7
76,18620,4,8
76,19644,4,8
76,20668,4,8
76,21692,3,8
76,22716,3,8
76,23740,3,8
76,24764,3,8
76,25788,3,8
76,26812,3,8
76,27836,3,8
76,28860,3,8
76,29884,3,8
76,30908,3,8
76,31932,2,8
76,32956,2,8
76,33980,2,8
76,35004,2,8
76,36028,2,8
76,37052,2,8
76,38076,2,8
76,39100,2,8
76,40124,2,8
76,41148,2,8
76,42172,2,8
76,43196,2,8
76,44220,2,8
76,45244,2,8
76,46268,2,8
76,47292,2,8
76,48316,2,8
76,49340,2,8
76,50364,2,8
76,51388,2,8
76,52412,2,8
76,53436,2,8
76,54460,2,8
76,55484,2,8
76,56508,2,8
76,57532,2,8
76,58556,2,8
76,59580,2,8
76,60604,2,8
76,61628,2,8
76,62652,2,8
76,63676,1,8
76,64700,1,8
