r,l,U,t
6288,700,90,7
6288,1212,52,7
6288,1724,37,7
6288,2236,29,7
6288,2748,23,7
6288,3260,20,7
6288,3772,17,7
6288,4284,15,7
6288,4796,14,7
6288,5308,12,7
6288,5820,11,7
6288,6332,10,7
6288,6844,10,7
6288,7356,9,7
6288,7868,9,7
6288,8380,8,7
6288,8892,8,7
6288,9404,7,7
6288,9916,7,7
6288,10428,7,7
6288,10940,6,7
6288,11452,6,7
6288,11964,6,7
6288,12476,6,7
6288,13500,5,7
6288,14524,5,7
6288,15548,5,7
6288,16572,4,7
6288,17596,4,7
6288,18620,4,8
6288,19644,4,8
6288,20668,4,8
6288,21692,3,8
6288,22716,3,8
6288,23740,3,8
6288,24764,3,8
6288,25788,3,8
6288,26812,3,8
6288,27836,3,8
6288,28860,3,8
6288,29884,3,8
6288,30908,3,8
6288,31932,2,8
6288,32956,2,8
6288,33980,2,8
6288,35004,2,8
6288,36028,2,8
6288,37052,2,8
6288,38076,2,8
6288,39100,2,8
6288,40124,2,8
6288,41148,2,8
6288,42172,2,8
6288,43196,2,8
6288,44220,2,8
6288,45244,2,8
6288,46268,2,8
6288,47292,2,8
6288,48316,2,8
6288,49340,2,8
6288,50364,2,8
6288,51388,2,8
6288,52412,2,8
6288,53436,2,8
6288,54460,2,8
6288,55484,2,8
6288,56508,2,8
6288,57532,2,8
6288,58556,2,8
6288,59580,2,8
6288,60604,2,8
6288,61628,2,8
6288,62652,2,8
6288,63676,1,8
6288,64700,1,8
