r,l,U,t
3728,700,90,7
3728,1212,52,7
3728,1724,37,7
3728,2236,29,7
3728,2748,23,7
3728,3260,20,7
3728,3772,17,7
3728,4284,15,7
3728,4796,14,7
3728,5308,12,7
3728,5820,11,7
3728,6332,10,7
3728,6844,10,7
3728,7356,9,7
3728,7868,9,7
3728,8380,8,7
3728,8892,8,7
3728,9404,7,7
3728,9916,7,7
3728,10428,7,7
3728,10940,6,7
3728,11452,6,7
3728,11964,6,7
3728,12476,6,7
3728,13500,5,7
3728,14524,5,7
3728,15548,5,7
3728,16572,4,7
3728,17596,4,7
3728,18620,4,8
3728,19644,4,8
3728,20668,4,8
3728,21692,3,8
3728,22716,3,8
3728,23740,3,8
3728,24764,3,8
3728,25788,3,8
3728,26812,3,8
3728,27836,3,8
3728,28860,3,8
3728,29884,3,8
3728,30908,3,8
3728,31932,2,8
3728,32956,2,8
3728,33980,2,8
3728,35004,2,8
3728,36028,2,8
3728,37052,2,8
3728,38076,2,8
3728,39100,2,8
3728,40124,2,8
3728,41148,2,8
3728,42172,2,8
3728,43196,2,8
3728,44220,2,8
3728,45244,2,8
3728,46268,2,8
3728,47292,2,8
3728,48316,2,8
3728,49340,2,8
3728,50364,2,8
3728,51388,2,8
3728,52412,2,8
3728,53436,2,8
3728,54460,2,8
3728,55484,2,8
3728,56508,2,8
3728,57532,2,8
3728,58556,2,8
3728,59580,2,8
3728,60604,2,8
3728,61628,2,8
3728,62652,2,8
3728,63676,1,8
3728,64700,1,8
