r,l,U,t
3472,700,90,7
3472,1212,52,7
3472,1724,37,7
3472,2236,29,7
3472,2748,23,7
3472,3260,20,7
3472,3772,17,7
3472,4284,15,7
3472,4796,14,7
3472,5308,12,7
3472,5820,11,7
3472,6332,10,7
3472,6844,10,7
3472,7356,9,7
3472,7868,9,7
3472,8380,8,7
3472,8892,8,7
3472,9404,7,7
3472,9916,7,7
3472,10428,7,7
3472,10940,6,7
3472,11452,6,7
3472,11964,6,7
3472,12476,6,7
3472,13500,5,7
3472,14524,5,7
3472,15548,5,7
3472,16572,4,7
3472,17596,4,7
3472,18620,4,8
3472,19644,4,8
3472,20668,4,8
3472,21692,3,8
3472,22716,3,8
3472,23740,3,8
3472,24764,3,8
3472,25788,3,8
3472,26812,3,8
3472,27836,3,8
3472,28860,3,8
3472,29884,3,8
3472,30908,3,8
3472,31932,2,8
3472,32956,2,8
3472,33980,2,8
3472,35004,2,8
3472,36028,2,8
3472,37052,2,8
3472,38076,2,8
3472,39100,2,8
3472,40124,2,8
3472,41148,2,8
3472,42172,2,8
3472,43196,2,8
3472,44220,2,8
3472,45244,2,8
3472,46268,2,8
3472,47292,2,8
3472,48316,2,8
3472,49340,2,8
3472,50364,2,8
3472,51388,2,8
3472,52412,2,8
3472,53436,2,8
3472,54460,2,8
3472,55484,2,8
3472,56508,2,8
3472,57532,2,8
3472,58556,2,8
3472,59580,2,8
3472,60604,2,8
3472,61628,2,8
3472,62652,2,8
3472,63676,1,8
3472,64700,1,8
