r,l,U,t
1760,700,90,7
1760,1212,52,7
1760,1724,37,7
1760,2236,29,7
1760,2748,23,7
1760,3260,20,7
1760,3772,17,7
1760,4284,15,7
1760,4796,14,7
1760,5308,12,7
1760,5820,11,7
1760,6332,10,7
1760,6844,10,7
1760,7356,9,7
1760,7868,9,7
1760,8380,8,7
1760,8892,8,7
1760,9404,7,7
1760,9916,7,7
1760,10428,7,7
1760,10940,6,7
1760,11452,6,7
1760,11964,6,7
1760,12476,6,7
1760,13500,5,7
1760,14524,5,7
1760,15548,5,7
1760,16572,4,7
1760,17596,4,7
1760,18620,4,8
1760,19644,4,8
1760,20668,4,8
1760,21692,3,8
1760,22716,3,8
1760,23740,3,8
1760,24764,3,8
1760,25788,3,8
1760,26812,3,8
1760,27836,3,8
1760,28860,3,8
1760,29884,3,8
1760,30908,3,8
1760,31932,2,8
1760,32956,2,8
1760,33980,2,8
1760,35004,2,8
1760,36028,2,8
1760,37052,2,8
1760,38076,2,8
1760,39100,2,8
1760,40124,2,8
1760,41148,2,8
1760,42172,2,8
1760,43196,2,8
1760,44220,2,8
1760,45244,2,8
1760,46268,2,8
1760,47292,2,8
1760,48316,2,8
1760,49340,2,8
1760,50364,2,8
1760,51388,2,8
1760,52412,2,8
1760,53436,2,8
1760,54460,2,8
1760,55484,2,8
1760,56508,2,8
1760,57532,2,8
1760,58556,2,8
1760,59580,2,8
1760,60604,2,8
1760,61628,2,8
1760,62652,2,8
1760,63676,1,8
1760,64700,1,8
