r,l,U,t
2368,700,90,7
2368,1212,52,7
2368,1724,37,7
2368,2236,29,7
2368,2748,23,7
2368,3260,20,7
2368,3772,17,7
2368,4284,15,7
2368,4796,14,7
2368,5308,12,7
2368,5820,11,7
2368,6332,10,7
2368,6844,10,7
2368,7356,9,7
2368,7868,9,7
2368,8380,8,7
2368,8892,8,7
2368,9404,7,7
2368,9916,7,7
2368,10428,7,7
2368,10940,6,7
2368,11452,6,7
2368,11964,6,7
2368,12476,6,7
2368,13500,5,7
2368,14524,5,7
2368,15548,5,7
2368,16572,4,7
2368,17596,4,7
2368,18620,4,8
2368,19644,4,8
2368,20668,4,8
2368,21692,3,8
2368,22716,3,8
2368,23740,3,8
2368,24764,3,8
2368,25788,3,8
2368,26812,3,8
2368,27836,3,8
2368,28860,3,8
2368,29884,3,8
2368,30908,3,8
2368,31932,2,8
2368,32956,2,8
2368,33980,2,8
2368,35004,2,8
2368,36028,2,8
2368,37052,2,8
2368,38076,2,8
2368,39100,2,8
2368,40124,2,8
2368,41148,2,8
2368,42172,2,8
2368,43196,2,8
2368,44220,2,8
2368,45244,2,8
2368,46268,2,8
2368,47292,2,8
2368,48316,2,8
2368,49340,2,8
2368,50364,2,8
2368,51388,2,8
2368,52412,2,8
2368,53436,2,8
2368,54460,2,8
2368,55484,2,8
2368,56508,2,8
2368,57532,2,8
2368,58556,2,8
2368,59580,2,8
2368,60604,2,8
2368,61628,2,8
2368,62652,2,8
2368,63676,1,8
2368,64700,1,8
