r,l,U,t
2128,700,90,7
2128,1212,52,7
2128,1724,37,7
2128,2236,29,7
2128,2748,23,7
2128,3260,20,7
2128,3772,17,7
2128,4284,15,7
2128,4796,14,7
2128,5308,12,7
2128,5820,11,7
2128,6332,10,7
2128,6844,10,7
2128,7356,9,7
2128,7868,9,7
2128,8380,8,7
2128,8892,8,7
2128,9404,7,7
2128,9916,7,7
2128,10428,7,7
2128,10940,6,7
2128,11452,6,7
2128,11964,6,7
2128,12476,6,7
2128,13500,5,7
2128,14524,5,7
2128,15548,5,7
2128,16572,4,7
2128,17596,4,7
2128,18620,4,8
2128,19644,4,8
2128,20668,4,8
2128,21692,3,8
2128,22716,3,8
2128,23740,3,8
2128,24764,3,8
2128,25788,3,8
2128,26812,3,8
2128,27836,3,8
2128,28860,3,8
2128,29884,3,8
2128,30908,3,8
2128,31932,2,8
2128,32956,2,8
2128,33980,2,8
2128,35004,2,8
2128,36028,2,8
2128,37052,2,8
2128,38076,2,8
2128,39100,2,8
2128,40124,2,8
2128,41148,2,8
2128,42172,2,8
2128,43196,2,8
2128,44220,2,8
2128,45244,2,8
2128,46268,2,8
2128,47292,2,8
2128,48316,2,8
2128,49340,2,8
2128,50364,2,8
2128,51388,2,8
2128,52412,2,8
2128,53436,2,8
2128,54460,2,8
2128,55484,2,8
2128,56508,2,8
2128,57532,2,8
2128,58556,2,8
2128,59580,2,8
2128,60604,2,8
2128,61628,2,8
2128,62652,2,8
2128,63676,1,8
2128,64700,1,8
