r,l,U,t
91,700,90,7
91,1212,52,7
91,1724,37,7
91,2236,29,7
91,2748,23,7
91,3260,20,7
91,3772,17,7
91,4284,15,7
91,4796,14,7
91,5308,12,7
91,5820,11,7
91,6332,10,7
91,6844,10,7
91,7356,9,7
91,7868,9,7
91,8380,8,7
91,8892,8,7
91,9404,7,7
91,9916,7,7
91,10428,7,7
91,10940,6,7
91,11452,6,7
91,11964,6,7
91,12476,6,7
91,13500,5,7
91,14524,5,7
91,15548,5,7
91,16572,4,7
91,17596,4,7
91,18620,4,8
91,19644,4,8
91,20668,4,8
91,21692,3,8
91,22716,3,8
91,23740,3,8
91,24764,3,8
91,25788,3,8
91,26812,3,8
91,27836,3,8
91,28860,3,8
91,29884,3,8
91,30908,3,8
91,31932,2,8
91,32956,2,8
91,33980,2,8
91,35004,2,8
91,36028,2,8
91,37052,2,8
91,38076,2,8
91,39100,2,8
91,40124,2,8
91,41148,2,8
91,42172,2,8
91,43196,2,8
91,44220,2,8
91,45244,2,8
91,46268,2,8
91,47292,2,8
91,48316,2,8
91,49340,2,8
91,50364,2,8
91,51388,2,8
91,52412,2,8
91,53436,2,8
91,54460,2,8
91,55484,2,8
91,56508,2,8
91,57532,2,8
91,58556,2,8
91,59580,2,8
91,60604,2,8
91,61628,2,8
91,62652,2,8
91,63676,1,8
91,64700,1,8
